truku	zh	en	fr	headword
Akay wa!	哎唷！	Ouch!	Aïe !	WA
Acih, wa!	唉呀！好險！	Well! It was a close call!	Eh bien ! Il s'en est fallu de peu !	WA
Nhari wa!	那就快點吧！	Hurry up then!	Dépêche toi donc !	WA
Wada ka tama mu da.	我父親已經走了。	My father has already left.	Mo père est déjà parti.	WADA
Wada qmpahan ka tama mu.	我父親去田裡了（他現在在那裡）。	My father has gone to the fields (he is there right now).	Mo père est allé aux champs (il y est en ce moment).	WADA
Wada na ngalun ka hukut su.	他已經拿走你的拐杖了。	He has already taken your stick.	Il a déjà pris ton bâton.	WADA
Wada wada ka hngkawas da!	歲月就這樣一年又一年地過去（不間斷地流逝）。	And the years passed, passed (went by without interruption).	Et les années passaient, passaient (ont passé sans interruption).	WADA
Usa weela ka isu, niyah ku kiya da.	你先走在前面吧；我晚點來。	You, go on ahead; I will come later.	Toi, va en avant ; je viendrai plus tard.	WA'LA
Manu ka sgiying su hyaan! Ga empweela ka hiya!	你找他做什麼？他在前面呢！	Why are you looking for him? He's up ahead!	Qu'est-ce que tu as à le chercher ? Il est devant, lui !	WA'LA
Mnusa ku pweela (empweela?) dhyaan kkaraw dha dowras daya.	我去帶領他們，好讓他們攀上那更高處的岩石。	I went to guide them so that they could climb the rocks that are higher up there.	Je suis allé les guider pour qu'ils grimpent les rochers qui sont là plus haut.	WA'LA
Ima ka empweela dhyaan.	是誰帶領他們（誰是他們的嚮導）？	Who is it that leads them (who is their guide)?	Qui est-ce qui les conduit (qui est leur guide ?) ?	WA'LA
Usa tweela ka isu ni empsnegul sunan kana ka dhiya da!	你走在前面，其他所有人都會跟著你。	You go in front and all the others will follow you.	Toi va devant et tous les autres te suivront.	WA'LA
Musa ka hiya do niqan ka mtweela ni niqan ka msnegul uri.	他移動時，有些人走在前面，有些人跟在（他）後面。	When he moves about, there are some who walk in front and some who follow (him).	Quand il se déplace, il y-en a qui marchent devant et il-y-en a qui (le) suivent.	WA'LA
Ita waray su binaw; siisun mu kingal butang.	把你的線遞給我一點；我想縫一顆鈕扣。	Pass me a bit of your thread; I want to sew on a button.	Passe moi un peu ton fil ; je veux coudre un bouton.	WALAE
Nta mkan waray hu?	那麼，我們要吃細麵嗎？	So, are we going to eat vermicelli?	Alors, On va manger des vermicelles ?	WALAE
Ya aji saku bsqrun waru hu!	我希望你不會（不想）勒死我（掐我脖子）！（註：請注意與 Wa"lo＝蜜蜂之區別！）。	I hope you're not going to (don't want to) strangle me (squeeze my neck)! (n.b. note the difference from: Wa"lo = bee!).	J'espère que tu ne vas (veux) pas m'étrangler (me serrer le cou) ! (nb. à noter la différence avec : Wa"lo = abeille !).	WALO
Wana mkan ka klaun su!	你只會吃！	All you know how to do is eat!	Tu ne sais que manger !	WANA
Wana spat bi hiyi ka mniyah.	只有四個人來了。	Only four people have come.	Il n'y a que quatre personnes qui sont venues.	WANA
Niqan lukus kana; wana isu ka ungat.	他們都有衣服；只有你沒有。	They all have clothes; you are the only one who has none.	Ils ont tous des habits ; tu es le seul à ne pas en avoir.	WANA
Ga qmpah kana, wana isu ka ini.	他們都在工作，只有你不（工作）。	They are all working, except you (you are the only one who does not (work)).	Ils travaillent tous, sauf toi (tu es le seul à ne pas (travailler).	WANA
Waqit bowyak.	山豬的獠牙。（＝用來稱象牙之詞，此外別無他稱）。	Wild boar's tusk. (= the name given to ivory, otherwise unknown).	Défense de sanglier. (= nom donné à l'ivoire, inconnu par ailleurs).	WAKAT
Ga snwaqit ka dxgal da.	土地正在冒出嫩芽。	The earth is in the process of sending out young shoots.	La terre est en train de faire sortir de jeunes pousses.	WAKAT
Wawa kacing.	小牛。	Calf.	Veau.	WAWA
Wawa mirit.	小山羊。	Kid (young goat)	Cabri.	WAWA
Wawa rudux.	小雞。	Chick.	Poussin.	WAWA
Wawa quyu.	小蛇。	Young of the snake.	Petit du serpent.	WAWA
Tatat.	狗的幼崽－小狗。	The young of the dog - puppy.	Le petit du chien - chiot.	WAWA
Bru.	豬的幼崽－小豬。	The young of the pig - piglet.	Le petit du cochon.	WAWA
Mha twawa knuwan ka kacing su?	你的母水牛什麼時候生產？	When is your buffalo cow going to give birth?	Quand est-ce que ta bufflonne va mettre bas ?	WAWA
Tnwawa sknuwan ka kacing su?	你的母水牛什麼時候生的？	When did your buffalo cow give birth?	Quand est-ce que ta bufflonne à mis bas ?	WAWA
Mkan wawaq.	吃肉。	To eat meat.	Manger de la viande.	WAWAQ
Niqan rwahan tutu su?	你有開罐器嗎？	Do you have a can opener?	As tu un ouvre-boîtes ?	WAXAN
Rwahan lungaw.	開瓶器。	Bottle opener.	Ouvre bouteilles.	WAXAN
Ga rwahan ka sapah dha.	他們的房子是開著的。	Their house is open.	Leur maison est ouverte.	WAXAN
Biyuq walu.	蜂蜜（蜜蜂的汁液）。	Honey (bee juice).	Miel (jus d'abeille).	WA"LO
Kuhat walu.	蜂巢（蜜脾）。	Honeycomb.	Rayon de miel.	WA"LO
Win, dha, tru.	一、二、三……	One, two, three …	Un, deux, trois …	WIN
Npaan su shjil bi seuxal, kika (kiya ka) sknarux hwinuk su.	是因為你從前背負沉重的負擔，才使你患上這腰痛。	It is from having carried heavy loads in the past that you get this lower-back pain.	C'est d'avoir porté de lourdes charges autrefois qui te provoque ce mal de reins.	WINUK
Akay uwit!	哎呀！多累啊！	Oh my! What fatigue!	Oh la ! Quelle fatigue !	WIT
Paah ka ndaan mu pkrut hiyi ka meuwit ku bi da.	自從我動了手術，我就真的很累！	It is since my operation that I am really tired!	C'est depuis mon opération que je suis vraiment fatigué !	WIT
Meuwit hari ka lnglungan na.	他快要讓步了（他的心思有點疲乏－他快要改變主意了！）。	He is about to give in (His mind is a bit weary - he is about to change his mind!).	Il est sur le point de céder (Sa pensée est un peu fatiguée - il est sur le point de changer d'avis !).	WIT
Meuwit bi ka erut sapah mu.	我家的樑有點不牢固。	The beams of my house are a bit weak.	Les poutres de ma maison sont un peu faibles.	WIT
Ana kingal jiyax ka ksaan mu, ini ku keuwit.	即使走了一整天的路，我也不累。	Even after a whole day of walking, I am not tired.	Même après un jour entier de marche, je ne suis pas fatigué.	WIT
Ya bi keuwit!	撐住！（別累倒！）。	Hold on! (don't get tired!).	Tiens bon ! (ne sois pas fatigué !).	WIT
Saw bi smeuwit seejiq ka tmabun!	去翻鬆（鋤）土地是很累人的！	It is very tiring to go break up (hoe) the ground!	C'est très fatiguant d'aller défoncer (piocher) le terrain !	WIT
Pskrci cicih ka habuk su.	把你的腰帶繫緊一點吧。	Do tighten your belt a bit.	Serre donc un peu ta ceinture.	XABUK
Aji qraqil ka habuk su? … Kiya! Qraqil kacing.	你的腰帶莫非是皮製的？……是的！是水牛皮做的。	Wouldn't your belt be made of leather? … Yes! Of buffalo leather.	Est-ce que ta ceinture ne serait pas en cuir ? … Oui ! En cuir de buffle.	XABUK
Hbki binaw ka ribul su!	給你的褲子繫上腰帶吧！	Do put a belt on your trousers!	Mets donc une ceinture à tes pantalons !	XABUK
Wada na jiyun wahir bbuyu shabuk na ribul niya.	他用野生的藤蔓來做成腰帶。	He used wild lianas to make a belt out of them.	Il s'est servi de lianes sauvages pour en faire une ceinture.	XABUK
Tai mhada do, mha ta da!	一準備好，我們就出發。	As soon as it is ready, we leave.	Dès que c'est prêt, nous partons.	XADA
Mhada ka pajiq ni ana ana manu damat; idaw ka ini khada.	青菜和所有的菜餚都好了；就是飯還沒好！	The greens and all the dishes are ready; it's the rice that isn't!	La verdure et tous les plats sont prêts ; c'est le riz qui ne l'est pas !	XADA
Nta mkan; mhada ka idaw da!	來吃飯；飯煮好了。	Come eat; the rice is cooked.	Viens manger ; le riz est cuit.	XADA
Ini khada ka payay mu.	我的稻子還沒成熟。	My rice is not yet ripe.	Mon riz n'est pas encore mûr.	XADA
Mha mkrima. Mkpitu! Ida empkhada ka blbul mu uri!	得要五天……七天！無論如何我的香蕉也會成熟。	It will take five days. Seven days! In any case my bananas too will ripen.	Il faudra cinq jours. Sept jours ! De toute façon mes bananes aussi mûriront.	XADA
Paru hidaw do, ini biyaw mshada ka hiyi qlupas.	若是大太陽，桃子很快就成熟。	If it is very sunny, the peaches ripen quickly.	S'il fait grand soleil, les pêches mûrissent vite.	XADA
Tluung nanak! Ga mshada nanak ka idaw!	你只管坐著！飯正在自己煮著呢。	Just sit down! The rice is cooking all by itself.	Assieds toi seulement ! Le riz est en train de se préparer tout seul.	XADA
Usa nama pshada (= usa psnama) idaw ka isu.	你先去準備飯（餐食）	You, go on ahead and prepare the rice (meal)	Toi, va en avant préparer le riz (repas)	XADA
Hidaw bi ka empshada ana manu uqun.	確實是太陽使所有食物成熟。	It is indeed the sun that ripens all the food.	C'est bien le soleil qui fait mûrir toute la nourriture.	XADA
Isu hu ka empshada uqun?	難道是你（有能力）使穀物成熟的嗎？	Could it by chance be you who (is able to) makes the cereals ripen?	Serait-ce par hasard toi qui (est capable de faire) fait mûrir les céréales ?	XADA
Luus ku bi ka yaku! Ungat bi ka empshada uqun mu da!	我是個很孤單的單身漢！沒有人替我做飯吃！	I am a very lonely bachelor! There is no one to prepare my meals!	Je suis un célibataire bien seul ! Il n'y a personne qui me prépare à manger !	XADA
Mqriqu (mkriqu) bi ka pshdaan ta blayan.	我們煮扁豆（的準備）真是很複雜！	Our preparation (cooking) of lentils is really complicated!	Elle est bien compliquée notre préparation (cuisson) de lentilles !	XADA
Mnangal ku tunux siida do, pasi miyah mssli kana ka djyami hhadur dha tuxan kingal bru babuy.	我獵回一顆首級的那天，我的族人全都聚集起來，向神靈獻上一頭小豬作祭。	The day I brought back a head, all my people gathered to offer the Spirit the sacrifice of a piglet.	Le jour où j'ai rapporté une tête, tous les miens se sont réunis pour offrir à l'Esprit le sacrifice d'un porcelet.	XADOL
Niqan ka mhadur sayang alang namu? … Niqan kiya!	如今在你們的村子裡，還有人獻祭（xadol）嗎？……有的！還有！	Are there still, nowadays, in your village, people who offer the sacrifice (xadol)? … Yes! There are still some!	Y-a-t-il encore de nos jours, dans votre village, des gens qui offrent le sacrifice (xadol) ? … Oui ! Il y en a encore !	XADOL
Sapah haduran.	教堂（基督宗教）。	Church (Christian).	Eglise (chrétien).	XADOL
Nasi mu hlayun do, hadun misu nhari da!	如果我能把它找回來，我會立刻帶回來給你。	If I manage to find it again, I will bring it back to you at once.	Si j'arrive à le retrouver, je te le ramènerai aussitôt.	XADUN
Saun misu hmadut, hu?	你要我去陪你嗎？	Do you want me to go accompany you?	Veux tu que j'aille t'accompagner ?	XADUT
Hbaraw bi seejiq mniyah hmadut kman mnusa ku papa asu skaya siida.	當我去搭飛機時，他們來了很多人（來了非常多人）陪我！	They came in great numbers (very many people came) to accompany me when I went to take the plane!	Ils sont venus très nombreux (de très nombreuses personnes sont venues) m'accompagner quand je suis allé prendre l'avion !	XADUT
Muda namu hakaw hu?	你們是走橋過去的嗎？	Do you cross by the bridge?	Est-ce que vous passez par le pont ?	XAKAO
Hakaw utux.	彩虹（神靈之橋）。	Rainbow (bridge of the Spirit).	Arc-en-ciel (pont de l'Esprit).	XAKAO
Asi ka hakaw tduwa ta mkaraw dnamux sapah su! Suqi bbaraw da!	要有梯子才能爬上你家的屋頂！它太高了！	You need a ladder to be able to climb onto the roof of your house! It is so high!	Il faut une échelle pour pouvoir monter sur le toit de ta maison ! Elle est tellement haute !	XAKAO
Mntakur smqit yayung ka pusu sakus o, malu bi ka kiya! Wada mhakaw nanak ka hiya!	樟樹橫倒在溪流上：真是太好了！它就那樣像橋一樣橫在那裡（它變成了橋）！	The camphor tree fell across the torrent: it's wonderful! It set itself there like a bridge (it became a bridge)!	Le camphrier est tombé en travers du torrent : c'est merveilleux ! Il s'est placé là comme un pont (il est devenu pont) !	XAKAO
Aji su hkagun ka yayung.	你不想在那條溪流上架一座橋嗎？	Don't you want to make a bridge over that torrent there?	Ne veux tu pas faire un pont sur ce torrent là ?	XAKAO
Ana pxal balay ini ku bi sruwa!	即使（只有）一次，我也絕對不允許！	Even (for) a single time, I absolutely do not allow it!	Même (pour) [une] seule fois, je ne permets absolument pas !	XAL
Ppxal ku bi musa pslihaw ka yaku.	我只是偶爾才去照鏡子而已！	It's only from time to time that I go look at myself in the mirror!	Ce n'est que de temps à autre que je vais me regarder dans la glace (le miroir), moi !	XAL
Empxal bi musa mita.	這是我唯一一次去看。	It's the only time I will go see.	C'est l'unique fois où je vais voir.	XAL
Mnpiya su da? … Mnpxal ku balay!	這對你來說已經是第幾次了？……只有一次！	How many times does that make for you already? … Only once!	Cela te fait déjà combien de fois ? … Une seule [fois] !	XAL
Balay bi snxalan su mapa kana ka nii?	你真的一次就把這些全揹了嗎？	Did you really carry all this in a single trip?	Tu as vraiment porté tout cela en une seule fois ?	XAL
Pnxalan su miyah siida.	在你想要成為唯一一次的那時候（＝在你來的第一次也是唯一一次（？）。）。	At what you wanted to be the only time (= At the first and only time you came (?).).	Lors de ce que tu as voulu être la seule fois (= Lors de la première et unique fois où tu es venu (?).).	XAL
Ungat bi ka mknxal ta sayang!	我們這些同時代的人真的一點也不值錢！	Our contemporaries really aren't worth much!	Ils ne valent vraiment pas cher nos contemporains !	XAL
Rudan knxalan.	長老的群體（＝年紀最長、同齡因而具有相同權威的一群人？？）。	The group of elders (= The group of the oldest ones who are the same age, and who therefore have the same authority??).	Le groupe des anciens (= Le groupe des plus âgés qui ont le même âge, qui donc ont la même autorité ??).	XAL
Aji misu shngiyun ana bitaq nxal!	我永遠不會忘記你（＝甚至直到最後）。	I will never forget you (= even until the very end).	Je ne t'oublierai jamais (= même jusqu'à la fin).	XAL
Embiyax hari.	稍微強一點－（病人）稍微好一點－。	A little stronger - a little better (of sick people)	Un peu plus fort - un peu mieux (malades)	XALI
Ini ku hari kmusa.	我不太想去。	I am not very inclined to go.	Je ne suis pas très disposé à aller.	XALI
Ini hari tuku.	還差一點點才夠。	It's a little short of being enough.	Il en manque un petit peu pour être assez.	XALI
Siqa hari!	矜持一點！	Be a little reserved!	Sois un peu réservé !	XALI
Tai binaw! Halus kana lukus su! Seesu (ssu) bi!	你看看！你的衣服全是口水！真丟臉！	Just look! All your clothes are covered in drool! It's shameful!	Vois un peu ! Tous tes habits sont pleins de bave ! C'est honteux !	XALÖS
Paah bilaq ni, ana jiyan ana keeman o, ida nhalus kdjiyax ka laqi nii!	從很小的時候起，無論白天黑夜，這個孩子一直不停地流口水。	Since he was very small, day and night, this kid never stops drooling.	Depuis tout petit, le jour comme la nuit, ce gosse n'arrête pas de baver.	XALÖS
Ya sa ga hmaluy biyax pkmalu mnarux ka hiya.	因為他被賦予（披上）了醫治病人的力量（能力）！	Given that he is endowed (clothed) with the strength (the power) to heal the sick!	Etant donné qu'il est doué (habillé) de la force (du pouvoir) de guérir les malades !	XALWI
Iyax nhari, msa! … Han!	他說：快來！……啊！好！	Come quickly, he said! … Ah! Good!	Viens vite, dit-il ! … Ah ! Bon !	XAN
Biqi ku cicih han hu?	給我一點，好嗎？	Give me a little, will you?	Donne m'en un peu, veux tu ?	XAN
Biqi ku cicih han!	先給我一點！	Give me a little first!	Donne moi d'abord un peu !	XAN
Hana dhuq o, asi su msaang da!	你才剛到就在吵架！	You've barely arrived and here you are already quarrelling!	Tu es à peine arrivé et voilà que tu disputes !	XANA
Hana ku nkla!	我才剛剛知道！	I've only just learned it!	Je viens tout juste de l'apprendre !	XANA
Ini ku kla hangan pusu qhuni nii!	我不知道這棵樹的名字。	I don't know the name of this tree.	Je ne sais pas le nom de cet arbre.	XANGAN
Niqan hangan.	有名的（＝有名氣）。	Famous (= to have a name).	Célèbre (=avoir un nom).	XANGAN
Ima ka hangan su = hangan su o, ina.	（似乎較為粗俗）	(seems more coarse)	(semble plus grossier)	XANGAN
Manu ka hangan su.	你叫什麼名字？	What is your name?	Comment t'appelles tu ?	XANGAN
Emptquli kingal laqi ka kuyuh su ni, Seguk ka thnganun.	你的妻子將會有（生下、需要照顧）一個孩子，他將取名為 Segok。	Your wife will have (will give birth to - will have to care for) a child, and he will be named Segok.	Ta femme aura (enfantera - aura à soigner) un enfant et il s'appellera Segok.	XANGAN
Pthnganun su manu ka laqi su?	你要給你的孩子取什麼名字？	What will you name your child?	Comment appelleras tu ton enfant ?	XANGAN
Empshjil su ni empgdurug su kingal laqi snaw pthnganun su Yisu.	你要懷孕，生下一個男孩，並給他取名叫耶穌。	You will conceive and will give birth to a male child, and you will name him Jesus.	Tu seras enceinte et tu enfanteras un enfant mâle et tu l'appelleras Jésus.	XANGAN
Ya bi shangan ka isu!	你可要小心，別亂給人取綽號（別嘲笑人）。	You, be careful not to give nicknames (not to mock).	Toi, garde toi bien de donner des sobriquets (de te moquer).	XANGAN
Ma su smhangan seejiq!	你是怎麼了（為什麼？怎麼會！！）要詆毀別人、給人取綽號！	What has got into you to (why? How!!) run people down, to give people nicknames!	Qu'est-ce qui te prend de (pourquoi ? Comment !!) décrier, de donner des sobriquets aux gens !	XANGAN
Nasi su shnganun ka seejiq duri o, ida misu psruun duri, kaway binaw!	如果你再嘲笑（給人取綽號）別人，我會再處罰你，你等著瞧！	If you mock (give nicknames to) people again, I will punish you once more, you'll see!	Si tu te moques (dis des sobriquets) encore des gens, je vais te punir à nouveau, tu vas voir !	XANGAN
Balay bi hangan na ka kiya? … Aji! Shnganan dha!	那真的是他的本名嗎？……不是！那是別人給他取的（惡毒）綽號！	Is that really his real name? … No! It's the (nasty) nickname that has been given to him!	Est-ce bien là son vrai nom ? … Non ! C'est le sobriquet (méchant) qui lui est donné !	XANGAN
Hapuy nhari!	快煮。	Cook quickly.	Cuis vite.	XAPWI
Hapuy nhari ka nuqaw nii.	快把這些小豌豆煮了！	Cook these little peas quickly!	Cuis vite ces petits pois !	XAPWI
Ga ku nhapuy idaw!	我正在煮飯。	I am cooking rice.	Je suis en train de cuire du riz.	XAPWI
Miyah ku dnayaw nhapuy sementu.	我來幫忙攪拌水泥砂漿。	I've come to help make the mortar.	Je viens aider à faire le mortier.	XAPWI
Qmpah su manu ka isu? … Ga ku nhapuy kusuy.	你在做什麼工作？……我在蒸餾香茅！	What work do you do? … I'm distilling citronella!	Quel travail fais tu, toi ? … Je distille de la citronelle !	XAPWI
Nhapuy su kana ka kusuy su daya?	你把上面那些香茅都蒸餾完了嗎？	Have you distilled it all (have you finished distilling) your citronella from up there?	L'as tu toute distillée (as tu fini de distiller) ta citronelle de là-haut ?	XAPWI
Nta nkan nhapuy da, tgaguh ku balay!	我們去吃飯吧，我很趕。	Let's go eat; I'm in a great hurry.	Allons manger ; je suis très pressé.	XAPWI
Baka bi puyan da!	該煮湯（做飯）了。	It's time to prepare the soup (to cook).	Il est temps de préparer la soupe (de cuire).	XAPWI
Mkuung bi ka sapah puyan mu.	我的廚房很暗。	My kitchen is very dark.	Ma cuisine est très sombre.	XAPWI
Mkuung bi ka puyan sapah mu.	我家的廚房很暗。	The kitchen of my house is very dark.	La cuisine de ma maison est très sombre.	XAPWI
Malu bi puyan ka pngusul.	蝸牛很容易料理（烹煮）。	Snails are easy to prepare (to cook).	Les escargots sont faciles à préparer (à cuire).	XAPWI
Miyah ku phapuy sunan; meuwit ku bi da!	我來你這裡讓你幫我做飯；我很累了。	I've come to have a meal made for me at your place; I'm very tired.	Je viens me faire faire à manger chez toi ; je suis très fatigué.	XAPWI
Ungat jiyax su do, sai phapuy Dluan da!	如果你沒空，就去 Jiru家讓人幫你做飯吧！	If you don't have time, go and have a meal made for you at Jiru's!	Si tu n'as pas le temps, va te faire faire à manger chez Djiro !	XAPWI
Mnusa marig ana manu sapah brigan sphapuy na dhyaan.	她（他）去市場買齊了所有東西，為了給他們做飯。	She (he) went to do all her shopping at the market in order to make food for them.	Elle (il) est allée faire tous ses achats au marché pour leur faire à manger.	XAPWI
Ima ka emphapuy uqun ray sapah su?	誰要為你家的客人準備飯菜（食物）？	Who will prepare the meal (the food) for the guests of your house?	Qui est-ce qui préparera le repas (la nourriture) pour les hôtes de ta maison ?	XAPWI
Hawan bi ka sapah mu!	我的家真可惜）（沒了……毀了……）。	What a pity for my house) (lost. Destroyed...).	Dommage pour ma maison) (perdue. Détruite...).	XAWAI
Wana haya ka biyax mu!	我只能做到這樣（＝我的力氣就只有這麼多！）。	That's all I can do (= That's all the strength I have!).	C'est tout ce que je puis faire (= Voilà tout ce que j'ai comme forces !).	XAYA
Ana khaya ka knnarux su o, ida nisu pkdusun.	儘管你病得這麼重，我還是想醫好你。	Although you are so seriously ill, I still want to heal you.	Bien que tu sois aussi gravement malade, je veux quand même te guérir.	XAYA
Ma mshaya ka laqi nii!	啊！這個（討厭的）孩子就是這樣行事！	Ah! That's how this (nasty) kid behaves!	Ah ! C'est comme cela qu'il agit ce (sale) gosse !	XAYA
Snruwa su bi ana manu pnteuqan dha! Ini bi kshaya kana!	你饒恕一切（對你的）冒犯！這不是一般人會做的事！	You forgive all the offenses (done to you)! That's not what people generally do!	Toi tu pardonnes toutes les offenses (qui te sont faites) ! Ce n'est pas ce que font les gens en général !	XAYA
Ksnani haya (= Ksi nami haya!)	使我們也一樣！（註：這個詞綴（？！）與它通常所影響的詞分開，並非獨一無二的現象：例如 Npa-so paro tunuç xeti＝你日後將成為一位首領（一位權威、一位「先生」）；在這些用法中，該前綴表現得彷彿是一個帶有自身訊息的獨立語素，或至少是一個影響整個語句的詞綴。）	Make us be the same! (n.b. This affix (?!) separated from the term it normally affects is not a unique occurrence: e.g. Npa-so paro tunuç xeti = You will later become a chief (an authority, a “gentleman”); in these realizations, the prefix behaves as if it were an autonomous moneme with its own message, or at least an affix affecting an utterance taken as a whole.)	Fais nous être de même ! (nb. Cet affixe (?!) séparé du terme qu'il affcte normalement n'est pas un fait unique : par. Ex. Npa-so paro tunuç xeti = Tu deviendras plus tard un chef (une autorité, un « monsieur ») ; dans ces réalisations, le préfixe se comporte comme s'il était un monème autonome avec un message propre, ou du moins un affixe affectant un énoncé pris comme un tout.)	XAYA
Ana su mnpiya: aji ku bi da o, ini su bi alix snhaya ana pxal!	你儘管說了那麼多次（你說了無數次）：不！結束了！但你卻一次也沒有停止像以前那樣做！	No matter how many times you've said (you've said so many times): No! It's over! You have not once stopped doing as before!	Tu as beau avoir dit tant de fois : (tu as dit tant de fois) : Non ! C'est fini ! Mais tu n'as pas cessé une seule fois de faire comme avant !	XAYA
Ida hbaraw bi seejiq ka ini kla snpug patas.	不識字的人仍然很多。	The people who cannot read are still numerous.	Ils sont encore nombreux les gens qui ne savent pas lire.	XBALAO
Ini khbaraw mniyah shiga ka laqi (vl. lqlaqi) matas.	昨天學生來得不多。	The pupils did not come in large numbers yesterday.	Les élèves ne sont pas venus nombreux, hier.	XBALAO
Mnusa ku mrmux hbragan seejiq.	我去混入（擠進）人群之中。	I went to mingle (to make my way into) the multitude of people.	Je suis allé me mêler (m'introduire dans) à la multitude des gens.	XBALAO
Saw bi ini su kla knhbragan na hiyi ka pais!	看來你不知道敵人有多少（……的群體……）。	It seems you don't know how numerous the enemies are (the multitude of.).	On dirait que tu ne sais pas combien les ennemis sont nombreux (lamultitude des.).	XBALAO
Snkukul su pila hu? … Ungat ana kingal hbangan mu!	你身上有錢嗎？……我一毛錢也沒有！	Do you have any money on you? … I don't have a penny!	As-tu de l'argent sur toi ? … Je n'ai pas un sou !	XBANGAN
Ga hmbuy ka dnamux sapah mu da!	我家的屋頂漏水了（有漏處）。	Now the roof of my house is leaking (has a leak).	Voilà que le toit de ma maison coule (a une gouttière).	XBUI
Gimi kingal lubuy duri; ga hmbuy ka kingal nii!	找另一個袋子；這個破了。	Look for another bag; this one is holed.	Cherche un autre sac ; celui-ci est percé.	XBUI
Ya bi ga inu ga hbiyan?	那漏水的地方到底在哪裡呢？	But wherever can the leak be?	Mais où donc peut bien être la gouttière ?	XBUI
Uxay nslubuy ka lubuy su nii? … Balay bi! Tai! Ga empruq sulay na! Ya lala bi hnbiyan na nuda elug ka pay i na!	你那個袋子是不是有點軟塌塌的？……喔！真的！你看！底部破了！（底端穿孔了）！想必牠的稻穀（粟）一路上撒了不少出去！	Isn't your bag (there) a bit slack? … Oh! It's true! Look! It's holed at the bottom! (its bottom is pierced)! No doubt a lot of its rice (paddy) has spilled out along the way!	Ne serait-il pas un peu flasque ton sac (là) ? … Oh ! C'est vrai ! Regarde ! Il est percé au fond !(ses fesses sont percées) ! Sans doute beaucoup de son riz (paddy) s'est répandu en route !	XBUI
Ana kingal bi hnbiyan sinaw ini ku bi tunguh!	我連一滴酒都不喝！	I don't drink even a single drop of alcohol!	Je ne bois même pas une seule goutte d'alcool !	XBUI
Hbraw su bi ka mnarux?	真的是你的下腹（骨盆部位）在痛嗎？	Is it really your lower abdomen that hurts you?	C'est vraiment ton bas-ventre qui te fait mal ?	XBULAO
Adas cicih hdayu aji su kslaan nuda elug.	帶點乾糧，免得路上肚子餓！	Take a snack so you won't get ravenous along the way!	Emporte un casse-croûte pour ne pas avoir la fringale en cours de route !	XDAYO
Jyagi ku phdayu tama su mmha bbuyu.	幫我準備（幫我做）你父親的乾糧，他要上山（打獵）！	Prepare for me (help me prepare) the snack for your father who is going to the mountains (hunting)!	Prépare-moi (aide-moi à préparer) le casse-croûte de ton père qui va partir en montagne (à la chasse) !	XDAYO
Sai hmjil ttahut! Ga nsqrul ka idaw da!	去把火移開（拿走）！飯要燒焦了！	Go move (take away) the fire! The rice is burning!	Va déplacer (retirer) le feu ! Le riz est en train de brûler !	XDIL
Usa mhjil cicih ka isu! Manu ka yahan su truma papak mu!	你往旁邊挪一點吧！你為什麼跑來擋在我腳下？	Move a bit further away, you! Why do you come and put yourself under my feet?	Va donc un peu plus loin, toi ! Pourquoi viens tu te mettre sous mes pieds ?	XDIL
Qmaya bi ddaan mu ka erut su gaga; phjili cicih hu? … Iq! Phjilun mu saman!	你的樑木（你的木料）擋住了我的路；把它們搬遠一點吧，好嗎？……好！我明天叫人把它們搬走！	Your beams (your pieces of wood) block my passage; have them moved a little (further away), will you? … Fine! I'll have them moved tomorrow!	Tes poutres (tes pièces de bois) entravent mon passage ; fais les donc transporter un peu (plus loin), veux tu ? … Bien ! Je les ferai transporter demain !	XDIL
Sknuwan ka thjilan dha sipaw?	他們什麼時候搬（他們的搬遷是何時發生的）到對面去的？	When did they move (did their relocation take place) (to go) to the place opposite?	Quand est-ce qu'ils ont déménagé (a eu lieu leur déménagement) (pour aller) en face.	XDIL
Hnjilan na bi hiyi ka Rabay.	Rabay 懷孕了。	Rabay was pregnant.	Rabay était enceinte.	XDIL
Mniyah ku ka mniyah ni ini ku hjiyal (vl. ini mu hjyali ka) ana manu.	我確實來了（就來而言，我來了），可是我什麼都沒找到！	I did indeed come (as for coming, I came) but I find nothing!	Je suis bien venu (pour ce qui est de venir, je suis venu) mais je ne trouve rien !	XDIYAL
Ya uxay hnjyalan su yayung ka tasil kiya?	你發現（你所說的）那塊石頭，該不會是在溪流裡吧？	Surely it wasn't in the torrent that you found that stone (the one you speak of)?	Ce n'est sans doute pas dans le torrent que tu as découvert cette pierre (dont tu parles) ?	XDIYAL
Qnduriq ka hiya ni wada thjiyal elug nkyayung da!	他以為能逃走，結果在沿著溪流的小徑上被人發現了。	He thought he would escape and he was discovered on the path along the torrent.	Il pensait s'enfuir et il a été découvert sur le sentier le long du torrent.	XDIYAL
Ya han! Ga ku hndu qmpah kingal lituk nii ka sayang.	等一下！我正在把這塊田（一塊（＝LITOK）地）鋤完。	Wait a moment! I am just finishing working (hoeing) this field (a plot (=LITOK) of land).	Attends un peu ! Je suis en train de finir de travailler (piocher) ce champ (un coin (=LITOK) de terrain).	XDO
